Users,Age,Gender,Occupation,level of Student (If Student),Region,Smartphone owner,SmartPhone duration?,Smartphone daily,Smartphone usage Select all that apply,Applications frquently use,Daily phone check,Productive Usage ,Activities Using Phone,Efficiency Of Phone,Use Productive Apps,Productive Applications,Smartphone Distraction Frequency,Productivity Affecting Activities,Smartphone Productivity Impact,Smartphone Usage Impact,Smartphone Usage Management Strategies,Productivity Usage Challenges,Productivity Improvement Suggestions
1,18-25,Female,Student,Undergraduate,Bafoussam,Yes,4-6 years,More than 8 hours,"Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Facebook;Instagram;TikTok;YouTube,Several times per hour,Always,Reading/Studying;Online courses;Taking notes;Research and information gathering;Collaboration with others,Very much,Yes,AI tools,Often,Messaging,Strongly agree,"Yes, positively",I do not manage my usage,Always interrupted by messages,
2,18-25,Female,Self-employed,Not Applicable,Bamenda,Yes,More than 6 years,More than 8 hours,"Online Shopping;Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Facebook;Instagram;TikTok;YouTube;Email apps;Learning Apps;Work/productivity apps,Almost constantly,Always,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Sending work emails;Business activities;Research and information gathering;Collaboration with others,Extremely,Yes,"Google Calendar;Notes applications;Microsoft Office/Google Workspace;Task management apps(Todoist, Trello, etc);AI tools",Always,Messaging,Strongly agree,"Yes, positively",Setting screen time limits;Keeping the phone away while working/Studying,Notifications alway pop ,
3,Under 18,Female,Student,Undergraduate,West,Yes,1-3 years,More than 8 hours,"Communication (calls, messages);Social Media;Education/Learning;Entertainment (videos, games, music)",WhatsApp;Facebook;YouTube;Learning Apps;Other,Almost constantly,Always,Reading/Studying;Online courses;Taking notes;Research and information gathering,Very much,Yes,Google Calendar;Microsoft Office/Google Workspace;AI tools,Sometimes,Social media,Agree,"Yes, positively",Turning off notifications,Distraction ,Less notifications 
4,18-25,Female,Student,Undergraduate,Littoral ,Yes,4-6 years,More than 8 hours,"Communication (calls, messages);Social Media;Education/Learning;Entertainment (videos, games, music)",WhatsApp;Facebook;TikTok;YouTube;Email apps,Several times per hour,Often,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Research and information gathering;Collaboration with others,Very much,Yes,Google Calendar;Notes applications;Microsoft Office/Google Workspace;AI tools,Sometimes,Social media,Agree,"Yes, positively",Keeping the phone away while working/Studying;Sometimes I just decide to focus on studying despite the incoming messages ,Distraction from incoming messages and social media ,An easy way of restricting the usage of some apps during studying hours of the day
5,18-25,Male,Student,Undergraduate,Northwest region ,Yes,4-6 years,More than 8 hours,"Communication (calls, messages);Social Media;Education/Learning;Entertainment (videos, games, music)",WhatsApp;Facebook;YouTube;Learning Apps,Almost constantly,Often,Reading/Studying;Online courses;Taking notes,Very much,No,,Always,Social media,Strongly disagree,"Yes, negatively",Keeping the phone away while working/Studying,Distracting notifications ,
6,18-25,Male,Student,Undergraduate,Center ,Yes,4-6 years,6-8 hrs,"Entertainment (videos, games, music)",WhatsApp;Facebook,Almost constantly,Sometimes,Reading/Studying;Research and information gathering,Moderately,Yes,,Always,Social media,Agree,"Yes, positively",Turning off notifications,Data issues ,Help me with money...I want to  buy new phone 
7,18-25,Female,Student,Graduate,West ,Yes,More than 6 years,4-6 hrs,"Communication (calls, messages);Social Media;Education/Learning;Entertainment (videos, games, music)",WhatsApp;Facebook;TikTok;YouTube;Email apps;Learning Apps,Every hour,Often,Online courses;Taking notes;Sending work emails,Very much,Yes,Notes applications;AI tools,Sometimes,Social media,Strongly agree,"Yes, positively",Turning off notifications,Les publicités ,"On doit plutôt sensibiliser les utilisateurs sur les possibilités d'augmenter leurs productivités grâce à leur smartphone, parce que beaucoup ignorent ces aspects productif des smartphones "
8,18-25,Female,Student,Undergraduate,North West ,Yes,4-6 years,More than 8 hours,"Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music);Other",WhatsApp;Facebook;TikTok;Email apps;Learning Apps;Work/productivity apps;Other,Several times per hour,Always,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Sending work emails;Research and information gathering;Collaboration with others,Very much,Yes,Google Calendar;Notes applications;AI tools,Often,Social media,Agree,"Yes, positively",Keeping the phone away while working/Studying,Distractions ,
9,26-35,Male,Self-employed,Graduate,Sud ,Yes,More than 6 years,More than 8 hours,"Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Facebook;Learning Apps,Several times per hour,Often,Taking notes;Managing schedules/calendars;Business activities;Collaboration with others,Extremely,No,Microsoft Office/Google Workspace;,Rarely,Social media,Agree,"Yes, positively",Turning off notifications,Battery ,More battery
10,18-25,Male,Student,Postgraduate,Littoral ,Yes,4-6 years,2-4 hrs,"Social Media;Education/Learning;Entertainment (videos, games, music)",WhatsApp;TikTok;YouTube;Learning Apps,Every hour,Often,Reading/Studying;Taking notes;Sending work emails,Slightly,Yes,AI tools,Sometimes,Social media,Neutral,"Yes, positively",Turning off notifications,Unwanted ads,Affordable data
